ID|Name|Last Name|S1|s2|s3|s4|s5|s6|s7|Total|Status|Grade
546|Avinash|Kumar|58|58|65|43|24|56|74|378|Pass|A
547|Rupesh|Kumari|59|24|55|44|25|57|34|298|Pass|C
548|Mahesh|Goud|60|58|73|72|26|58|35|382|Pass|A
549|Krishna|Khan|61|58|55|43|27|59|36|339|Pass|B
550|Sweta|Reddy|62|58|73|44|28|60|37|362|Pass|A
551|Ramya|Goud|63|58|55|72|29|61|38|376|Pass|A
552|Srija|Reddy|64|58|73|43|30|62|39|369|Pass|B
553|Ali|Khan|65|23|55|44|31|63|40|321|Pass|C
554|John|Peter|66|58|44|72|32|64|41|377|Pass|A
555|Sree|Reddy|67|28|55|43|33|65|42|333|Pass|C
